run/duplomap-prepare -i genome/segm_dup/hg38.csv -r genome/hg38.fa -a genome/hg38.annotation.gff3 -o db/upload/hg38
	Component 1-CNTNAP3B
===================
    Duplicated regions: 552
        Sum length: 49,224,384
        Mean length: 89,174
    Mean copy number: 4.79
    Pairwise PSVs: 994,510

    Input pairwise duplications:
    chr1:10001-19844  (9,844)         chrX:156020217-156030574  (10,358)           -      frac_match: 0.983
    chr1:10001-87112  (77,112)        chr15:101906153-101981189  (75,037)           -      frac_match: 0.993
    chr1:10001-20818  (10,818)        chr12:10044-20853  (10,810)           +      frac_match: 0.983
    chr1:10170-37148  (26,979)        chr1:180724-207666  (26,943)           +      frac_match: 0.990
    chr1:10465-40733  (30,269)        chr2:113572721-113602409  (29,689)           -      frac_match: 0.988
    chr1:10486-19844  (9,359)         chr16:10427-19533  (9,107)            +      frac_match: 0.987
    chr1:10486-40733  (30,248)        chr9:10844-40515  (29,672)           +      frac_match: 0.994
    chr1:18393-87112  (68,720)        chr19:60001-128672  (68,672)           +      frac_match: 0.995
    chr1:20864-40733  (19,870)        chr12:22924-44900  (21,977)           +      frac_match: 0.989
    chr1:70008-87112  (17,105)        chr6:60001-77075  (17,075)           +      frac_match: 0.992
    chr1:87114-137277  (50,164)        chr16:90169617-90219873  (50,257)           -      frac_match: 0.993
    chr1:87114-131360  (44,247)        chr2:242119886-242164670  (44,785)           -      frac_match: 0.988
    chr1:87114-92392  (5,279)         chr8:66692-72079  (5,388)            +      frac_match: 0.989
    chr1:88001-121417  (33,417)        chr1:265775-297956  (32,182)           +      frac_match: 0.993
    chr1:92388-136258  (43,871)        chr1:243011076-243054855  (43,780)           +      frac_match: 0.982
    chr1:92388-135370  (42,983)        chr1:223908297-223951831  (43,535)           +      frac_match: 0.985
    chr1:92388-104808  (12,421)        chr1:638490-651035  (12,546)           +      frac_match: 0.985
    chr1:92388-104808  (12,421)        chr1:402737-415287  (12,551)           +      frac_match: 0.986
    chr1:92388-104808  (12,421)        chr5:181403597-181416156  (12,560)           -      frac_match: 0.986
    chr1:92388-104808  (12,421)        chr6:170679163-170691708  (12,546)           -      frac_match: 0.986
    chr1:92388-104808  (12,421)        chr8:116474-129009  (12,536)           +      frac_match: 0.986
